"","mean_x","mean_y","sd_x","sd_y","n_x","n_y","z","p_value"
"characters_per_minute_process",1277.19371726602,855.795270963303,413.921409052668,355.046978761333,108,92,7.74991357921359,9.19551088337049e-15
"words_per_minute_product",482.981481481481,279.173913043478,171.582844570941,85.9881935028435,108,92,10.8480732255463,2.03673520054789e-27
"number_of_pauses",83.5092592592593,67.4565217391304,38.788305244561,35.7498676070639,108,92,3.04333084792093,0.0023397493868383
"proportion_of_pause_time",52.353151996335,56.8731950995796,12.4745540965801,14.4983989185158,108,92,-2.34174091339699,0.0191940339351792
"mean_pause_length",11944.7927623381,16503.3533438704,8213.70828879196,12665.8702393787,108,92,-2.96209206590345,0.00305556404068076
"pause_frequency",3.01573674646772,2.7612098954951,0.874134580775484,1.18960430175733,108,92,1.69845956989622,0.089421057185083
"number_of_deletions",473.583333333333,255.79347826087,364.115728881206,187.442213105007,108,92,5.42866625505387,5.67767416032683e-08
"number_of_insertions",3402.63888888889,1947.33695652174,1206.48727356622,695.446007213268,108,92,10.6323055692427,2.10834814815468e-26
"length_of_deletions",581.231481481481,332.163043478261,502.931213714784,444.387991973698,108,92,3.71761973088859,0.000201108681610711
"length_of_insertions",3402.63888888889,1947.33695652174,1206.48727356622,695.446007213268,108,92,10.6323055692427,2.10834814815468e-26
"proportion_of_deletions",2.15251191195219,1.42051724411193,1.22627676163636,0.93366054099858,108,92,4.78531195180438,1.70721963040854e-06
"proportion_of_insertions",22.9634958450507,15.6463301375103,9.77262258485202,7.78553711811548,108,92,5.890315371909,3.85459299906744e-09
"number_of_p_bursts",83.5092592592593,67.4565217391304,38.788305244561,35.7498676070639,108,92,3.04333084792093,0.0023397493868383
"number_of_r_bursts",461.768518518518,245.75,356.873458724111,183.00739341337,108,92,5.49879600101223,3.82393210305524e-08
"length_of_p_bursts",1439.19444444444,912.54347826087,596.728157998503,411.280536139931,108,92,7.34892379892908,1.9980904993478e-13
"length_of_r_bursts",1878.46296296296,965.652173913043,1034.18793304623,626.802673872124,108,92,7.66725682782005,1.75713722253095e-14
"proportion_of_p_bursts",9.41255150385869,7.11110322940967,3.88322423891689,3.76225659352392,108,92,4.24827992922923,2.154181182248e-05
"proportion_of_r_bursts",13.0133121427405,8.01820977216117,8.29793457048367,5.90044691067694,108,92,4.95566395666389,7.20837073869719e-07
"standard_deviation_per_interval",63.6736214962939,55.3785760032696,29.83193333233,35.4232436775455,108,92,1.77337608438232,0.0761664091850575
